Year,Month,Value,Anomaly
1947,8,70.8,4.8
1947,9,60.5,1.6
1947,10,55.1,7.1
1947,11,33.5,-2.8
1947,12,21.8,-2.7
1948,1,13.8,-6.0
1948,2,18.2,-2.5
1948,3,30.8,0.2
1948,4,45.5,2.7
1948,5,52.5,-2.0
1948,6,62.6,-0.8
1948,7,68.8,0.6
1948,8,67.3,1.3
1948,9,60.5,1.6
1948,10,46.3,-1.7
1948,11,42.8,6.5
1948,12,27.3,2.8
1949,1,26.4,6.6
1949,2,27.0,6.3
1949,3,32.0,1.4
1949,4,44.0,1.2
1949,5,55.4,0.9
1949,6,68.8,5.4
1949,7,71.9,3.7
1949,8,68.8,2.8
1949,9,56.6,-2.3
1949,10,52.8,4.8
1949,11,34.0,-2.3
1949,12,27.6,3.1
1950,1,29.2,9.4
1950,2,19.8,-0.9
1950,3,24.5,-6.1
1950,4,39.2,-3.6
1950,5,54.5,0.0
1950,6,63.0,-0.4
1950,7,66.7,-1.5
1950,8,65.5,-0.5
1950,9,56.0,-2.9
1950,10,50.5,2.5
1950,11,37.9,1.6
1950,12,23.0,-1.5
1951,1,23.5,3.7
1951,2,23.8,3.1
1951,3,32.2,1.6
1951,4,43.7,0.9
1951,5,55.4,0.9
1951,6,62.9,-0.5
1951,7,68.0,-0.2
1951,8,64.9,-1.1
1951,9,58.3,-0.6
1951,10,50.1,2.1
1951,11,31.3,-5.0
1951,12,25.9,1.4
1952,1,23.4,3.6
1952,2,24.6,3.9
1952,3,30.1,-0.5
1952,4,46.4,3.6
1952,5,51.5,-3.0
1952,6,65.0,1.6
1952,7,71.4,3.2
1952,8,66.7,0.7
1952,9,60.3,1.4
1952,10,44.3,-3.7
1952,11,38.7,2.4
1952,12,28.2,3.7
1953,1,26.2,6.4
1953,2,26.5,5.8
1953,3,33.6,3.0
1953,4,42.7,-0.1
1953,5,56.3,1.8
1953,6,64.7,1.3
1953,7,68.7,0.5
1953,8,65.9,-0.1
1953,9,59.6,0.7
1953,10,49.8,1.8
1953,11,39.7,3.4
1953,12,30.8,6.3
1954,1,17.2,-2.6
1954,2,28.4,7.7
1954,3,30.3,-0.3
1954,4,45.3,2.5
1954,5,52.5,-2.0
1954,6,65.0,1.6
1954,7,66.6,-1.6
1954,8,64.1,-1.9
1954,9,58.1,-0.8
1954,10,51.8,3.8
1954,11,36.8,0.5
1954,12,24.2,-0.3
1955,1,17.8,-2.0
1955,2,22.0,1.3
1955,3,30.5,-0.1
1955,4,47.3,4.5
1955,5,57.8,3.3
1955,6,63.7,0.3
1955,7,72.8,4.6
1955,8,70.8,4.8
1955,9,58.0,-0.9
1955,10,50.6,2.6
1955,11,34.6,-1.7
1955,12,18.8,-5.7
1956,1,20.2,0.4
1956,2,23.9,3.2
1956,3,25.6,-5.0
1956,4,39.7,-3.1
1956,5,50.4,-4.1
1956,6,64.0,0.6
1956,7,65.3,-2.9
1956,8,65.4,-0.6
1956,9,55.5,-3.4
1956,10,49.3,1.3
1956,11,37.7,1.4
1956,12,29.0,4.5
1957,1,14.5,-5.3
1957,2,26.0,5.3
1957,3,32.1,1.5
1957,4,45.4,2.6
1957,5,53.7,-0.8
1957,6,67.0,3.6
1957,7,67.1,-1.1
1957,8,63.6,-2.4
1957,9,59.5,0.6
1957,10,47.0,-1.0
1957,11,38.4,2.1
1957,12,30.2,5.7
1958,1,20.2,0.4
1958,2,15.8,-4.9
1958,3,31.8,1.2
1958,4,45.0,2.2
1958,5,51.4,-3.1
1958,6,58.8,-4.6
1958,7,68.1,-0.1
1958,8,65.6,-0.4
1958,9,58.8,-0.1
1958,10,47.2,-0.8
1958,11,38.0,1.7
1958,12,16.2,-8.3
1959,1,18.0,-1.8
1959,2,18.1,-2.6
1959,3,28.6,-2.0
1959,4,44.3,1.5
1959,5,57.3,2.8
1959,6,64.3,0.9
1959,7,69.7,1.5
1959,8,70.3,4.3
1959,9,63.0,4.1
1959,10,49.2,1.2
1959,11,35.1,-1.2
1959,12,27.3,2.8
1960,1,20.9,1.1
1960,2,24.5,3.8
1960,3,21.5,-9.1
1960,4,46.2,3.4
1960,5,56.7,2.2
1960,6,63.1,-0.3
1960,7,65.8,-2.4
1960,8,65.9,-0.1
1960,9,60.6,1.7
1960,10,46.9,-1.1
1960,11,39.5,3.2
1960,12,19.6,-4.9
1961,1,13.9,-5.9
1961,2,23.0,2.3
1961,3,31.0,0.4
1961,4,40.0,-2.8
1961,5,52.2,-2.3
1961,6,63.0,-0.4
1961,7,68.0,-0.2
1961,8,66.6,0.6
1961,9,65.8,6.9
1961,10,51.4,3.4
1961,11,37.2,0.9
1961,12,25.2,0.7
1962,1,19.1,-0.7
1962,2,18.1,-2.6
1962,3,31.0,0.4
1962,4,43.2,0.4
1962,5,57.4,2.9
1962,6,64.2,0.8
1962,7,65.2,-3.0
1962,8,65.5,-0.5
1962,9,55.9,-3.0
1962,10,48.0,0.0
1962,11,32.7,-3.6
1962,12,21.2,-3.3
1963,1,17.1,-2.7
1963,2,14.4,-6.3
1963,3,31.5,0.9
1963,4,42.7,-0.1
1963,5,52.6,-1.9
1963,6,64.0,0.6
1963,7,68.3,0.1
1963,8,62.9,-3.1
1963,9,54.5,-4.4
1963,10,53.2,5.2
1963,11,41.2,4.9
1963,12,17.2,-7.3
1964,1,22.6,2.8
1964,2,19.6,-1.1
1964,3,32.1,1.5
1964,4,42.8,0.0
1964,5,57.6,3.1
1964,6,62.5,-0.9
1964,7,70.0,1.8
1964,8,62.8,-3.2
1964,9,58.4,-0.5
1964,10,46.0,-2.0
1964,11,39.0,2.7
1964,12,25.7,1.2
1965,1,16.8,-3.0
1965,2,20.8,0.1
1965,3,28.1,-2.5
1965,4,39.1,-3.7
1965,5,57.5,3.0
1965,6,61.7,-1.7
1965,7,64.8,-3.4
1965,8,65.6,-0.4
1965,9,60.0,1.1
1965,10,45.9,-2.1
1965,11,35.1,-1.2
1965,12,28.7,4.2
1966,1,17.6,-2.2
1966,2,21.2,0.5
1966,3,32.3,1.7
1966,4,40.5,-2.3
1966,5,50.0,-4.5
1966,6,64.0,0.6
1966,7,68.9,0.7
1966,8,66.6,0.6
1966,9,56.2,-2.7
1966,10,46.4,-1.6
1966,11,39.7,3.4
1966,12,25.4,0.9
1967,1,26.1,6.3
1967,2,16.4,-4.3
1967,3,27.7,-2.9
1967,4,42.5,-0.3
1967,5,47.3,-7.2
1967,6,67.1,3.7
1967,7,67.6,-0.6
1967,8,65.3,-0.7
1967,9,57.7,-1.2
1967,10,48.2,0.2
1967,11,32.2,-4.1
1967,12,27.0,2.5
1968,1,14.1,-5.7
1968,2,16.2,-4.5
1968,3,33.3,2.7
1968,4,47.5,4.7
1968,5,51.4,-3.1
1968,6,62.3,-1.1
1968,7,68.5,0.3
1968,8,65.6,-0.4
1968,9,61.2,2.3
1968,10,50.3,2.3
1968,11,35.3,-1.0
1968,12,21.4,-3.1
1969,1,19.6,-0.2
1969,2,21.6,0.9
1969,3,28.4,-2.2
1969,4,44.7,1.9
1969,5,53.5,-1.0
1969,6,63.1,-0.3
1969,7,67.3,-0.9
1969,8,67.7,1.7
1969,9,59.6,0.7
1969,10,47.2,-0.8
1969,11,36.4,0.1
1969,12,20.7,-3.8
1970,1,10.8,-9.0
1970,2,20.4,-0.3
1970,3,27.9,-2.7
1970,4,43.6,0.8
1970,5,56.1,1.6
1970,6,62.9,-0.5
1970,7,68.4,0.2
1970,8,67.1,1.1
1970,9,60.2,1.3
1970,10,50.8,2.8
1970,11,39.0,2.7
1970,12,21.8,-2.7
1971,1,14.4,-5.4
1971,2,22.7,2.0
1971,3,27.2,-3.4
1971,4,39.0,-3.8
1971,5,52.8,-1.7
1971,6,64.5,1.1
1971,7,66.6,-1.6
1971,8,65.3,-0.7
1971,9,62.5,3.6
1971,10,54.1,6.1
1971,11,34.9,-1.4
1971,12,28.1,3.6
1972,1,22.0,2.2
1972,2,17.8,-2.9
1972,3,27.0,-3.6
1972,4,37.6,-5.2
1972,5,56.1,1.6
1972,6,61.2,-2.2
1972,7,68.3,0.1
1972,8,64.8,-1.2
1972,9,59.4,0.5
1972,10,43.1,-4.9
1972,11,33.0,-3.3
1972,12,26.7,2.2
1973,1,23.9,4.1
1973,2,18.7,-2.0
1973,3,38.7,8.1
1973,4,44.8,2.0
1973,5,52.0,-2.5
1973,6,66.2,2.8
1973,7,69.3,1.1
1973,8,69.7,3.7
1973,9,58.8,-0.1
1973,10,50.2,2.2
1973,11,37.6,1.3
1973,12,26.6,2.1
1974,1,22.5,2.7
1974,2,18.8,-1.9
1974,3,30.1,-0.5
1974,4,45.3,2.5
1974,5,51.8,-2.7
1974,6,62.8,-0.6
1974,7,67.6,-0.6
1974,8,66.6,0.6
1974,9,56.7,-2.2
1974,10,43.4,-4.6
1974,11,37.0,0.7
1974,12,27.8,3.3
1975,1,24.4,4.6
1975,2,24.0,3.3
1975,3,28.2,-2.4
1975,4,36.9,-5.9
1975,5,59.6,5.1
1975,6,64.3,0.9
1975,7,69.8,1.6
1975,8,66.8,0.8
1975,9,55.7,-3.2
1975,10,50.3,2.3
1975,11,42.2,5.9
1975,12,23.6,-0.9
1976,1,13.8,-6.0
1976,2,27.4,6.7
1976,3,33.8,3.2
1976,4,45.4,2.6
1976,5,51.9,-2.6
1976,6,66.3,2.9
1976,7,65.6,-2.6
1976,8,64.7,-1.3
1976,9,56.5,-2.4
1976,10,43.2,-4.8
1976,11,31.4,-4.9
1976,12,18.2,-6.3
1977,1,11.0,-8.8
1977,2,21.7,1.0
1977,3,36.6,6.0
1977,4,44.6,1.8
1977,5,57.4,2.9
1977,6,61.0,-2.4
1977,7,68.4,0.2
1977,8,65.5,-0.5
1977,9,59.1,0.2
1977,10,46.0,-2.0
1977,11,39.4,3.1
1977,12,23.2,-1.3
1978,1,16.9,-2.9
1978,2,13.1,-7.6
1978,3,26.5,-4.1
1978,4,40.2,-2.6
1978,5,55.5,1.0
1978,6,62.6,-0.8
1978,7,67.4,-0.8
1978,8,67.4,1.4
1978,9,56.5,-2.4
1978,10,46.0,-2.0
1978,11,36.6,0.3
1978,12,25.7,1.2
1979,1,19.0,-0.8
1979,2,10.7,-10.0
1979,3,35.4,4.8
1979,4,42.3,-0.5
1979,5,55.6,1.1
1979,6,62.6,-0.8
1979,7,68.6,0.4
1979,8,65.4,-0.6
1979,9,58.2,-0.7
1979,10,47.5,-0.5
1979,11,40.9,4.6
1979,12,29.0,4.5
1980,1,21.6,1.8
1980,2,17.6,-3.1
1980,3,29.3,-1.3
1980,4,44.3,1.5
1980,5,56.0,1.5
1980,6,60.3,-3.1
1980,7,68.6,0.4
1980,8,69.2,3.2
1980,9,59.6,0.7
1980,10,44.7,-3.3
1980,11,33.1,-3.2
1980,12,19.0,-5.5
1981,1,11.9,-7.9
1981,2,29.4,8.7
